time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-20T23:37:22.440Z,33.4871667,-116.7881667,4.26,0.6,ml,19,59,0.08885,0.13,ci,ci38254288,2018-08-20T23:41:08.457Z,"9km NE of Aguanga, CA",earthquake,0.23,0.49,0.13,17,automatic,ci,ci
2018-08-20T23:34:56.100Z,41.3807,-100.1519,5,2.6,mb_lg,,55,0.045,1.2,us,us1000ge9f,2018-08-21T00:37:37.056Z,"32km ESE of Stapleton, Nebraska",earthquake,2.5,1.8,0.086,35,reviewed,us,us
2018-08-20T23:33:45.614Z,69.5828,-144.7715,0.1,2.9,ml,,,,1.02,ak,ak20127589,2018-08-20T23:53:32.040Z,"75km SW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-08-20T23:30:27.770Z,33.3605,-116.8108333,8.48,0.54,ml,14,119,0.04391,0.2,ci,ci38254280,2018-08-20T23:34:08.279Z,"5km E of Palomar Observatory, CA",earthquake,0.49,0.86,0.1,12,automatic,ci,ci
2018-08-20T23:23:55.680Z,35.0403333,-117.6486667,0.29,1.66,ml,12,102,0.1127,0.17,ci,ci38254272,2018-08-20T23:27:57.241Z,"5km N of Boron, CA",quarry blast,0.59,31.61,0.141,30,automatic,ci,ci
2018-08-20T23:21:43.205Z,69.4137,-143.5526,0,1.6,ml,,,,1.12,ak,ak20127585,2018-08-20T23:25:19.569Z,"80km S of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-20T23:09:20.007Z,69.6595,-144.5825,0.1,1.6,ml,,,,0.73,ak,ak20127582,2018-08-20T23:14:37.673Z,"64km SW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-08-20T22:56:53.504Z,69.6728,-144.7849,5.8,1.6,ml,,,,0.64,ak,ak20127564,2018-08-20T23:01:08.376Z,"67km SW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-20T22:56:27.120Z,60.6859,-156.296,10.7,1.6,ml,,,,0.61,ak,ak20127562,2018-08-20T23:01:08.585Z,"129km NW of Old Iliamna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-08-20T22:56:16.320Z,-18.1342,-177.9951,557.8,4.5,mb,,61,3.782,0.98,us,us1000ge8f,2018-08-20T23:13:35.040Z,"288km NNE of Ndoi Island, Fiji",earthquake,12.1,8.4,0.051,110,reviewed,us,us
2018-08-20T22:48:10.980Z,37.6546669,-118.8276672,1.2,1.31,md,8,160,0.01791,0.03,nc,nc73074676,2018-08-20T23:20:04.630Z,"14km E of Mammoth Lakes, CA",earthquake,0.87,1.2,0.3,7,automatic,nc,nc
2018-08-20T22:46:38.307Z,69.6491,-144.9969,0,3.2,ml,,,,0.89,ak,ak20127557,2018-08-20T22:51:40.951Z,"75km SW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-08-20T22:39:52.150Z,33.4841667,-116.7938333,4.18,1.88,ml,75,36,0.02865,0.22,ci,ci38254264,2018-08-20T23:31:56.625Z,"8km NE of Aguanga, CA",earthquake,0.18,0.49,0.175,26,reviewed,ci,ci
2018-08-20T22:30:17.148Z,69.5774,-144.7057,8.1,3,ml,,,,0.8,ak,ak20127078,2018-08-20T22:42:43.709Z,"74km SW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-08-20T22:27:22.610Z,69.5392,-144.0667,0,1.9,ml,,,,0.82,ak,ak20127076,2018-08-20T22:32:45.066Z,"68km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-08-20T22:25:34.010Z,38.7869987,-122.7460022,0.22,1.92,md,23,67,0.02367,0.06,nc,nc73074661,2018-08-21T00:16:03.965Z,"1km NE of The Geysers, CA",earthquake,0.2,0.65,0.11,8,automatic,nc,nc
2018-08-20T22:11:50.370Z,33.5065,-116.7946667,4.65,0.23,ml,13,170,0.07581,0.08,ci,ci38254248,2018-08-21T00:31:01.245Z,"10km NE of Aguanga, CA",earthquake,0.25,0.36,0.255,6,reviewed,ci,ci
2018-08-20T22:11:03.030Z,33.4983333,-116.7953333,4.06,0.77,ml,27,49,0.01461,0.14,ci,ci38254240,2018-08-20T22:56:11.020Z,"9km NE of Aguanga, CA",earthquake,0.19,0.48,0.113,22,reviewed,ci,ci
2018-08-20T22:10:21.430Z,33.3578333,-116.4026667,7.52,0.73,ml,7,184,0.09021,0.06,ci,ci38254256,2018-08-20T22:55:47.595Z,"12km NNW of Borrego Springs, CA",earthquake,0.41,1.63,0.023,4,reviewed,ci,ci
2018-08-20T22:07:37.366Z,69.6305,-144.0628,0.8,1.5,ml,,,,0.76,ak,ak20127071,2018-08-20T22:11:30.619Z,"58km SSW of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-08-20T22:06:14.132Z,60.3754,-150.4205,42.7,1.6,ml,,,,0.29,ak,ak20127070,2018-08-20T22:13:12.020Z,"26km SE of Sterling, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-08-20T22:05:46.760Z,40.4691667,-124.7421667,25.99,2.69,md,36,253,0.3088,0.18,nc,nc73074656,2018-08-21T02:30:06.867Z,"42km WNW of Petrolia, CA",earthquake,0.86,2.63,0.176,43,reviewed,nc,nc
2018-08-20T21:58:27.760Z,36.8293343,-121.4796677,4.97,1.46,md,9,207,0.01933,0.07,nc,nc73074651,2018-08-20T23:08:02.526Z,"6km ESE of San Juan Bautista, CA",earthquake,1.1,0.53,0.23,6,automatic,nc,nc
2018-08-20T21:50:46.080Z,33.484,-116.7875,4.43,0.42,ml,23,47,0.03026,0.12,ci,ci38254232,2018-08-20T22:56:41.236Z,"8km ENE of Aguanga, CA",earthquake,0.19,0.33,0.053,8,reviewed,ci,ci
2018-08-20T21:44:03.431Z,69.6116,-144.1753,0,3,ml,,,,0.71,ak,ak20127054,2018-08-20T21:51:27.336Z,"61km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-08-20T21:39:45.438Z,69.5107,-144.3297,0,2.4,ml,,,,0.74,ak,ak20127050,2018-08-20T21:45:20.295Z,"74km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-20T21:33:03.270Z,32.6078333,-116.9728333,3.05,1.13,ml,20,241,0.03599,0.19,ci,ci38254216,2018-08-20T21:36:34.469Z,"7km ESE of Chula Vista, CA",quarry blast,1.4,0.52,0.057,6,automatic,ci,ci
2018-08-20T21:25:14.327Z,69.6255,-144.2617,0.1,2.3,ml,,,,1.07,ak,ak20127045,2018-08-20T21:30:20.465Z,"61km SSW of Kaktovik, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-08-20T21:21:44.258Z,60.469,-143.0318,0,1.7,ml,,,,0.6,ak,ak20127042,2018-08-20T21:26:26.801Z,"55km NW of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-08-20T21:20:11.621Z,64.4712,-149.4119,15.1,0.9,ml,,,,0.3,ak,ak20127040,2018-08-20T21:26:27.444Z,"18km SW of North Nenana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-08-20T21:15:05.700Z,49.4268333,-120.6635,-1.5,2.16,ml,8,292,0.8792,0.24,uw,uw61410557,2018-08-20T22:50:15.680Z,"11km WSW of Princeton, Canada",explosion,1.59,31.61,0.156,8,reviewed,uw,uw
2018-08-20T20:52:02.000Z,18.2691,-67.845,128,2.89,md,8,323,0.7602,0.28,pr,pr2018232006,2018-08-21T01:29:43.714Z,"63km W of Rincon, Puerto Rico",earthquake,3.66,1.7,0.41,6,reviewed,pr,pr
2018-08-20T20:48:25.890Z,34.987,-118.1908333,-0.84,1.56,ml,23,52,0.1123,0.24,ci,ci38254200,2018-08-20T22:38:10.074Z,"7km SSW of Mojave, CA",quarry blast,0.44,31.61,0.206,14,reviewed,ci,ci
2018-08-20T20:44:47.860Z,38.8440018,-122.8216629,7.85,0.57,md,5,162,0.01072,0.05,nc,nc73074646,2018-08-20T20:46:23.138Z,"9km WNW of Cobb, CA",earthquake,1.38,7.16,,1,automatic,nc,nc
2018-08-20T20:39:07.807Z,69.669,-144.5968,8.5,1.6,ml,,,,0.54,ak,ak20126572,2018-08-20T20:42:26.237Z,"63km SW of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-08-20T20:37:39.019Z,62.9422,-149.7595,71.6,1.4,ml,,,,0.77,ak,ak20126568,2018-08-20T20:42:26.007Z,"64km SW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-08-20T20:29:01.350Z,33.5076667,-116.7975,2.64,0.4,ml,11,102,0.005261,0.1,ci,ci38254184,2018-08-20T22:56:04.444Z,"10km NE of Aguanga, CA",earthquake,0.32,0.21,0.076,8,reviewed,ci,ci
2018-08-20T20:25:39.210Z,33.5041667,-116.7931667,3.66,1.06,ml,36,35,0.07686,0.19,ci,ci38254176,2018-08-20T22:57:18.700Z,"10km NE of Aguanga, CA",earthquake,0.2,0.63,0.161,26,reviewed,ci,ci
2018-08-20T20:23:56.500Z,33.5038333,-116.7951667,4.17,0.57,ml,19,97,0.009552,0.07,ci,ci38254168,2018-08-21T00:38:05.890Z,"9km NE of Aguanga, CA",earthquake,0.17,0.26,0.101,11,reviewed,ci,ci
2018-08-20T20:21:23.328Z,69.6714,-144.0893,10.4,1.8,ml,,,,0.8,ak,ak20126558,2018-08-20T20:29:26.184Z,"54km SSW of Kaktovik, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-08-20T20:18:04.850Z,33.503,-116.7955,3.5,0.68,ml,22,37,0.01019,0.11,ci,ci38254160,2018-08-20T22:56:39.049Z,"9km NE of Aguanga, CA",earthquake,0.17,0.39,0.101,18,reviewed,ci,ci
2018-08-20T20:17:28.410Z,33.5053333,-116.7923333,4.1,0.67,ml,25,37,0.009701,0.14,ci,ci38254152,2018-08-20T22:57:25.040Z,"10km NE of Aguanga, CA",earthquake,0.2,0.46,0.109,19,reviewed,ci,ci
2018-08-20T20:09:22.590Z,19.4109993,-155.2796631,0.45,2.09,md,16,62,0.007838,0.12,hv,hv70557327,2018-08-20T20:12:32.010Z,"4km WSW of Volcano, Hawaii",earthquake,0.18,0.34,0.08,14,automatic,hv,hv
2018-08-20T20:08:48.100Z,33.5008333,-116.7953333,4.12,0.34,ml,16,142,0.01225,0.09,ci,ci38254136,2018-08-21T00:17:47.333Z,"9km NE of Aguanga, CA",earthquake,0.19,0.23,0.107,5,reviewed,ci,ci
2018-08-20T20:07:58.290Z,-16.855,-179.3177,543.09,4.5,mb,,68,2.663,1,us,us1000ge4z,2018-08-20T21:30:21.129Z,"146km ESE of Lambasa, Fiji",earthquake,12.1,6.7,0.037,218,reviewed,us,us
2018-08-20T19:58:30.585Z,69.6168,-144.2284,0.7,3.4,ml,,,,0.81,ak,ak20126085,2018-08-20T20:10:44.157Z,"61km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-20T19:55:14.490Z,33.4963333,-116.7943333,2.36,0.48,ml,19,47,0.01677,0.16,ci,ci38254128,2018-08-20T22:57:35.004Z,"9km NE of Aguanga, CA",earthquake,0.24,0.3,0.109,12,reviewed,ci,ci
2018-08-20T19:51:03.749Z,69.4535,-144.1138,0,1.7,ml,,,,0.85,ak,ak20126082,2018-08-20T19:56:51.962Z,"78km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-20T19:44:59.460Z,33.4916667,-116.7926667,4.36,0.73,ml,23,35,0.02162,0.17,ci,ci38254120,2018-08-20T22:59:30.420Z,"9km NE of Aguanga, CA",earthquake,0.25,0.55,0.089,21,reviewed,ci,ci
2018-08-20T19:18:57.108Z,69.6887,-143.9906,11,2.4,ml,,,,0.66,ak,ak20126077,2018-08-20T19:33:47.932Z,"51km SSW of Kaktovik, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-08-20T19:17:30.560Z,33.5111667,-116.4895,14.55,0.86,ml,24,67,0.05468,0.2,ci,ci38254112,2018-08-20T22:59:33.740Z,"18km ESE of Anza, CA",earthquake,0.38,0.52,0.181,29,reviewed,ci,ci
2018-08-20T19:16:15.240Z,33.504,-116.796,3.83,0.36,ml,17,135,0.009105,0.09,ci,ci38254104,2018-08-21T00:14:14.109Z,"9km NE of Aguanga, CA",earthquake,0.25,0.32,0.078,7,reviewed,ci,ci
2018-08-20T19:02:58.557Z,62.2527,-152.0619,98.6,1.5,ml,,,,0.64,ak,ak20126073,2018-08-20T19:33:47.726Z,"101km W of Talkeetna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-08-20T19:02:06.290Z,33.6925,-116.7083333,16.44,0.5,ml,14,106,0.02175,0.07,ci,ci38254096,2018-08-21T00:34:37.615Z,"5km S of Idyllwild, CA",earthquake,0.27,0.37,0.105,6,reviewed,ci,ci
2018-08-20T19:01:45.360Z,33.4903333,-116.7846667,4.41,0.45,ml,16,59,0.08468,0.1,ci,ci38254088,2018-08-20T22:59:06.015Z,"9km NE of Aguanga, CA",earthquake,0.22,0.42,0.091,13,reviewed,ci,ci
2018-08-20T18:56:01.410Z,37.6465,-118.9051667,1.17,0.25,md,10,101,0.00694,0.06,nc,nc73074626,2018-08-20T20:33:52.395Z,"7km E of Mammoth Lakes, CA",earthquake,0.4,0.44,0.245,9,reviewed,nc,nc
2018-08-20T18:54:42.160Z,33.4958333,-116.794,4.13,0.39,ml,18,91,0.01733,0.12,ci,ci38254080,2018-08-21T00:35:41.921Z,"9km NE of Aguanga, CA",earthquake,0.2,0.36,0.104,8,reviewed,ci,ci
2018-08-20T18:53:10.954Z,69.5526,-144.3408,1,1.9,ml,,,,0.9,ak,ak20126070,2018-08-20T18:58:16.540Z,"70km SSW of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-08-20T18:50:43.960Z,33.4828333,-116.7893333,4.45,1.16,ml,42,39,0.03086,0.19,ci,ci38254072,2018-08-20T22:59:39.220Z,"8km ENE of Aguanga, CA",earthquake,0.2,0.45,0.14,25,reviewed,ci,ci
2018-08-20T18:42:30.726Z,69.7425,-143.9975,9.6,1.7,ml,,,,1.14,ak,ak20125606,2018-08-20T18:46:47.981Z,"45km SSW of Kaktovik, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-08-20T18:21:29.160Z,33.4973333,-116.7656667,7.64,0.87,ml,21,43,0.0719,0.1,ci,ci38254048,2018-08-21T00:34:01.280Z,"11km SW of Anza, CA",earthquake,0.17,0.5,0.117,21,reviewed,ci,ci
2018-08-20T18:14:33.932Z,69.2272,-143.3912,5.3,2.8,ml,,,,1.03,ak,ak20125597,2018-08-20T18:27:55.506Z,"101km S of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-08-20T18:09:12.880Z,37.3193333,-122.1045,-0.26,1.65,md,23,102,0.01738,0.05,nc,nc73074606,2018-08-20T22:54:10.528Z,"4km S of Loyola, CA",quarry blast,0.27,31.61,0.237,23,reviewed,nc,nc
2018-08-20T18:01:33.300Z,-0.9384,-24.6165,10,4.9,mb,,72,21.12,0.77,us,us1000ge28,2018-08-20T18:55:17.040Z,"Central Mid-Atlantic Ridge",earthquake,13.4,1.9,0.077,53,reviewed,us,us
